CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/11/2018,25,21,24,21,14,9,8,23,27,33,39,42,43,43,44,44,45,45,42,41,40,39,39,39
03/12/2018,38,39,38,37,36,34,29,29,30,32,35,39,42,45,47,49,50,49,45,38,34,30,21,13
03/13/2018,23,25,24,23,18,18,15,7,10,22,34,42,50,54,55,57,58,60,53,50,49,49,47,45
03/14/2018,45,43,39,30,30,21,17,19,25,33,42,47,52,55,57,56,56,54,47,43,41,43,46,45
03/15/2018,42,38,35,29,15,8,8,13,29,42,47,50,51,45,44,42,43,42,41,39,40,40,39,35
03/16/2018,30,26,23,21,20,17,12,12,14,21,23,32,40,43,45,43,44,44,39,34,32,28,26,23
03/17/2018,19,16,18,21,22,19,16,14,17,23,26,31,32,34,36,35,34,34,31,27,21,19,17,20
03/18/2018,23,20,20,19,19,18,18,14,15,15,17,21,25,29,31,36,36,33,28,24,29,24,23,18
03/19/2018,17,17,18,18,22,33,30,28,32,44,48,50,50,50,50,48,48,47,43,38,36,34,34,33
03/20/2018,33,34,34,33,29,27,27,26,28,30,34,36,38,40,40,41,42,42,39,34,15,14,17,22
03/21/2018,21,18,8,8,10,8,3,3,21,32,39,41,46,49,49,51,54,55,48,43,47,43,42,40
03/22/2018,34,33,28,25,21,12,14,18,28,42,47,46,47,49,50,50,49,48,49,46,44,44,43,42
03/23/2018,38,34,33,30,29,28,22,23,27,31,35,37,36,42,43,43,42,40,38,37,36,36,35,36
03/24/2018,36,36,35,34,32,28,26,24,23,24,27,28,31,35,37,42,37,35,28,28,27,26,25,27
03/25/2018,29,29,28,27,27,26,23,20,21,25,29,29,30,31,31,31,31,30,26,28,32,33,32,30
03/26/2018,32,31,31,34,32,29,27,27,28,31,34,37,38,37,38,39,39,36,33,32,30,28,28,26
03/27/2018,25,24,25,24,21,18,13,14,21,22,25,27,30,30,32,34,32,29,36,35,34,34,34,30
03/28/2018,21,22,27,35,37,37,33,31,24,23,25,24,25,29,34,34,32,28,26,23,17,17,14,9
03/29/2018,7,7,5,3,2,2,6,11,14,12,17,25,35,38,43,47,52,53,49,41,38,36,32,36
03/30/2018,37,33,32,29,25,25,23,24,29,32,35,39,41,43,44,46,46,45,41,37,37,35,33,33
03/31/2018,35,32,30,26,25,29,32,32,33,35,40,46,51,50,51,53,56,55,48,44,43,42,39,39
04/01/2018,39,40,39,39,37,34,30,30,34,40,41,41,42,43,42,42,40,38,33,30,30,27,25,23
04/02/2018,21,20,19,17,12,6,2,4,5,6,7,12,22,30,31,30,29,26,22,21,23,24,24,24
04/03/2018,23,22,21,20,19,16,13,16,17,16,22,21,23,25,26,32,31,27,32,34,37,40,42,42
