CAMS 1068 Nitric Oxide Summary Report for 2020
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
Nitric Oxide (POC 1) measured in parts per billion
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
02/09/2020,4.6,CAL,CAL,CAL,CAL,2.4,3.4,4.9,5.9,6.6,9.0,8.7,7.3,9.0,10.5,11.8,14.0,17.2,20.4,16.8,17.0,14.9,13.7,10.6
02/10/2020,6.2,5.7,5.6,7.7,15.1,17.3,30.9,29.8,3.3,1.8,3.0,3.0,3.7,5.7,5.6,1.8,0.9,0.9,0.7,1.1,0.7,0.5,0.4,0.2
02/11/2020,0.7,0.4,0.6,0.5,0.9,0.7,0.9,1.2,1.0,1.1,1.7,2.3,2.5,1.7,1.6,2.0,1.6,1.3,1.0,1.0,0.8,0.8,0.8,0.7
02/12/2020,0.8,0.7,0.7,0.6,0.2,0.6,3.0,16.5,3.6,1.7,1.3,1.4,2.2,3.5,1.2,1.0,0.9,0.8,0.7,7.9,38.9,80.3,83.3,93.0
02/13/2020,86.5,2.0,0.7,0.7,0.9,4.4,12.1,3.2,3.3,2.5,4.0,1.5,1.7,1.8,3.1,2.9,2.6,1.9,13.5,21.6,9.3,5.0,2.0,0.7
02/14/2020,1.0,7.7,2.3,0.8,0.6,0.7,1.3,4.5,33.2,24.4,26.6,21.8,19.0,11.7,13.6,15.6,13.9,19.6,27.0,34.9,39.6,40.5,28.4,31.6
02/15/2020,16.3,14.3,18.3,7.9,9.9,29.9,34.3,44.5,70.7,22.7,19.4,14.3,10.1,8.9,6.9,8.1,6.8,10.0,13.9,21.0,20.0,16.5,28.4,11.9
02/16/2020,4.4,SPN,SPN,26.0,9.4,4.5,3.3,1.6,1.8,0.6,1.1,5.9,6.1,6.7,4.1,6.9,8.6,7.6,9.9,15.6,25.0,22.6,31.4,29.2
02/17/2020,22.8,9.6,4.4,3.2,6.1,12.4,19.5,21.8,23.7,25.2,11.2,10.9,12.6,7.5,8.6,7.4,8.2,13.5,19.5,33.2,29.1,14.4,15.7,14.7
02/18/2020,12.3,11.3,9.7,8.8,15.2,18.2,22.1,41.4,29.9,36.0,40.0,39.2,18.7,1.2,1.4,0.7,0.3,0.5,0.2,0.3,0.3,0.3,0.3,0.4
02/19/2020,0.3,0.0,0.3,0.2,0.2,1.3,4.8,2.6,0.4,1.5,PMA,PMA,PMA,1.5,1.4,1.4,1.6,1.6,0.9,1.2,6.8,13.4,0.8,0.4
02/20/2020,0.4,0.6,5.4,0.5,0.4,0.4,0.3,0.7,0.6,0.8,0.6,1.2,1.1,1.0,0.7,0.7,0.7,0.6,0.5,0.4,0.3,0.4,0.0,0.2
02/21/2020,0.4,0.3,0.4,0.3,0.5,0.3,0.6,1.6,2.0,9.8,6.3,7.1,4.3,4.3,8.2,7.3,8.1,13.6,21.7,32.0,34.8,30.0,27.4,28.9
02/22/2020,19.4,19.5,16.3,12.6,10.2,12.2,24.9,27.0,22.6,18.6,12.6,8.9,8.3,7.3,7.6,8.1,8.1,9.0,12.8,22.3,17.5,11.2,7.7,6.0
02/23/2020,4.1,SPN,SPN,4.3,3.9,4.1,6.7,11.7,12.7,15.0,11.2,8.8,7.6,8.2,9.4,15.3,17.3,19.9,17.6,15.6,15.4,11.7,7.0,4.8
02/24/2020,5.8,4.6,4.7,0.9,3.0,1.5,4.0,7.9,0.9,1.4,1.1,0.4,0.8,0.6,0.3,0.3,0.4,0.6,2.4,2.8,4.0,55.8,57.8,69.7
02/25/2020,56.8,35.7,53.5,27.5,15.6,3.3,14.5,1.0,1.9,1.8,1.4,1.5,0.7,0.7,0.5,0.3,0.3,0.5,0.3,0.3,0.3,0.1,0.2,0.1
02/26/2020,0.2,0.2,0.3,0.2,0.0,0.1,0.4,0.5,0.4,0.6,0.6,0.5,0.4,0.7,0.4,0.3,0.4,0.3,0.2,0.4,0.2,0.4,0.4,0.2
02/27/2020,0.4,0.5,3.2,7.4,8.7,9.2,26.3,40.1,18.6,17.9,13.9,9.7,6.9,5.2,5.1,8.2,3.5,9.5,21.0,36.0,37.8,48.1,37.5,21.4
02/28/2020,29.3,6.0,1.2,0.6,1.8,2.9,55.4,43.9,32.0,3.5,1.6,0.4,1.0,5.0,3.2,4.0,10.1,16.2,21.7,33.2,41.7,26.7,11.4,10.9
02/29/2020,33.2,55.1,0.7,5.6,22.5,29.5,78.5,77.6,67.8,26.7,10.5,7.2,6.1,5.9,7.2,7.3,5.6,7.1,10.0,8.1,7.9,7.0,7.7,6.8
