CAMS 1068 PM-2.5 (Local Conditions) Summary Report for 2019
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
PM-2.5 (Local Conditions) (POC 2) measured in micrograms per cubic meter (local conditions)
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
02/25/2019,7.0,1.0,6.0,5.0,5.0,6.0,9.0,6.0,6.0,1.0,6.0,6.0,5.0,8.0,4.0,9.0,7.0,9.0,10.0,3.0,9.0,8.0,11.0,13.0
02/26/2019,12.0,14.0,14.0,11.0,13.0,12.0,13.0,16.0,13.0,7.0,8.0,6.0,5.0,11.0,8.0,9.0,11.0,9.0,10.0,11.0,13.0,12.0,9.0,12.0
02/27/2019,15.0,17.0,9.0,5.0,8.0,11.0,9.0,11.0,10.0,9.0,8.0,8.0,13.0,13.0,9.0,15.0,17.0,12.0,11.0,9.0,12.0,9.0,6.0,11.0
02/28/2019,11.0,14.0,15.0,13.0,9.0,11.0,11.0,12.0,9.0,12.0,9.0,9.0,11.0,9.0,6.0,10.0,10.0,16.0,13.0,13.0,15.0,13.0,18.0,14.0
03/01/2019,21.0,23.0,14.0,13.0,15.0,22.0,26.0,27.0,34.0,29.0,25.0,28.0,32.0,31.0,30.0,29.0,30.0,31.0,30.0,29.0,30.0,32.0,31.0,31.0
03/02/2019,32.0,43.0,46.0,47.0,35.0,34.0,22.0,11.0,8.0,8.0,12.0,11.0,13.0,18.0,19.0,19.0,22.0,23.0,20.0,21.0,16.0,17.0,8.0,7.0
03/03/2019,5.0,5.0,4.0,4.0,4.0,1.0,0.0,-1.0,1.0,2.0,3.0,5.0,3.0,6.0,5.0,10.0,10.0,14.0,16.0,18.0,14.0,13.0,11.0,13.0
03/04/2019,13.0,12.0,8.0,6.0,9.0,5.0,5.0,4.0,3.0,6.0,7.0,2.0,4.0,-1.0,4.0,5.0,1.0,6.0,5.0,4.0,3.0,4.0,4.0,7.0
03/05/2019,3.0,6.0,2.0,5.0,5.0,4.0,1.0,-3.0,8.0,4.0,4.0,8.0,6.0,6.0,4.0,7.0,6.0,8.0,10.0,9.0,12.0,13.0,15.0,17.0
03/06/2019,14.0,17.0,14.0,14.0,12.0,12.0,12.0,6.0,9.0,10.0,7.0,9.0,8.0,7.0,10.0,15.0,9.0,11.0,7.0,10.0,9.0,15.0,9.0,7.0
03/07/2019,7.0,4.0,8.0,12.0,12.0,12.0,14.0,16.0,17.0,16.0,11.0,12.0,3.0,10.0,6.0,5.0,6.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0
03/08/2019,8.0,5.0,7.0,10.0,8.0,8.0,5.0,6.0,8.0,6.0,9.0,6.0,10.0,11.0,6.0,6.0,5.0,8.0,11.0,11.0,13.0,11.0,14.0,14.0
03/09/2019,13.0,9.0,8.0,11.0,9.0,9.0,10.0,12.0,13.0,16.0,17.0,7.0,12.0,7.0,5.0,8.0,1.0,3.0,3.0,9.0,106.0,12.0,24.0,34.0
03/10/2019,27.0,15.0,10.0,17.0,16.0,17.0,16.0,19.0,13.0,15.0,17.0,9.0,15.0,14.0,18.0,11.0,13.0,16.0,17.0,16.0,16.0,9.0,9.0,9.0
03/11/2019,10.0,8.0,8.0,9.0,5.0,4.0,10.0,8.0,7.0,QAS,QAS,14.0,13.0,20.0,22.0,19.0,24.0,23.0,28.0,32.0,31.0,24.0,20.0,25.0
03/12/2019,25.0,20.0,13.0,13.0,13.0,7.0,10.0,11.0,11.0,13.0,12.0,4.0,8.0,11.0,9.0,10.0,9.0,9.0,12.0,9.0,6.0,6.0,6.0,3.0
03/13/2019,9.0,11.0,12.0,9.0,9.0,12.0,-2.0,-1.0,13.0,7.0,7.0,10.0,9.0,9.0,7.0,8.0,7.0,9.0,12.0,9.0,13.0,15.0,17.0,18.0
03/14/2019,18.0,20.0,16.0,30.0,32.0,27.0,15.0,4.0,6.0,9.0,4.0,5.0,6.0,1.0,-2.0,1.0,3.0,4.0,0.0,4.0,1.0,1.0,-1.0,3.0
03/15/2019,3.0,1.0,3.0,0.0,0.0,-1.0,3.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,8.0,5.0,6.0
03/16/2019,4.0,7.0,4.0,2.0,3.0,5.0,4.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,0.0,4.0,6.0,4.0,5.0,9.0,9.0,7.0,7.0,7.0
03/17/2019,4.0,2.0,5.0,4.0,6.0,5.0,5.0,2.0,3.0,6.0,6.0,9.0,8.0,2.0,4.0,6.0,6.0,7.0,9.0,10.0,15.0,9.0,10.0,14.0
03/18/2019,9.0,12.0,14.0,13.0,9.0,12.0,11.0,8.0,4.0,9.0,10.0,11.0,7.0,8.0,10.0,12.0,13.0,16.0,9.0,9.0,10.0,12.0,15.0,14.0
03/19/2019,13.0,9.0,4.0,10.0,8.0,6.0,10.0,7.0,14.0,15.0,11.0,12.0,11.0,15.0,13.0,14.0,13.0,15.0,16.0,17.0,18.0,20.0,21.0,21.0
03/20/2019,20.0,17.0,15.0,19.0,16.0,15.0,16.0,13.0,15.0,13.0,18.0,14.0,17.0,13.0,3.0,5.0,8.0,13.0,11.0,14.0,11.0,10.0,10.0,9.0
03/21/2019,10.0,8.0,11.0,13.0,12.0,14.0,10.0,4.0,5.0,8.0,7.0,7.0,6.0,9.0,6.0,5.0,10.0,7.0,6.0,7.0,7.0,12.0,10.0,9.0
03/22/2019,10.0,10.0,13.0,12.0,11.0,11.0,10.0,12.0,22.0,18.0,21.0,15.0,16.0,9.0,12.0,10.0,10.0,8.0,9.0,9.0,11.0,8.0,11.0,13.0
03/23/2019,10.0,8.0,10.0,11.0,8.0,12.0,9.0,12.0,6.0,7.0,12.0,9.0,14.0,14.0,12.0,9.0,11.0,7.0,7.0,6.0,8.0,6.0,8.0,7.0
