Time,NOx (ppb),NO2 (ppb),PM 2.5 (ug/m3)
2019-01-06 21:00:00 UTC,19.8,11.9,6
2019-01-06 22:00:00 UTC,18.8,11.7,5
2019-01-06 23:00:00 UTC,25,14.6,4
2019-01-07 00:00:00 UTC,28.2,15.9,5
2019-01-07 01:00:00 UTC,33,17.9,5
2019-01-07 02:00:00 UTC,22.9,12,5
2019-01-07 03:00:00 UTC,15.6,8.7,2
2019-01-07 04:00:00 UTC,12.4,7.5,5
2019-01-07 05:00:00 UTC,9,5.9,3
2019-01-07 06:00:00 UTC,6.8,4.6,5
2019-01-07 07:00:00 UTC,7.4,4.9,3
2019-01-07 08:00:00 UTC,8.6,5.9,5
2019-01-07 09:00:00 UTC,6,4.3,5
2019-01-07 10:00:00 UTC,3.5,3,6
2019-01-07 11:00:00 UTC,20.4,13.7,3
2019-01-07 12:00:00 UTC,17.2,12.6,6
2019-01-07 13:00:00 UTC,37.3,19.5,7
2019-01-07 14:00:00 UTC,53.2,25.1,10
2019-01-07 15:00:00 UTC,50.9,23.1,4
2019-01-07 16:00:00 UTC,34.4,18.1,11
2019-01-07 17:00:00 UTC,10.5,7.3,7
2019-01-07 18:00:00 UTC,9.2,6.7,7
2019-01-07 19:00:00 UTC,5,4,3
2019-01-07 20:00:00 UTC,8.8,6,6
2019-01-07 21:00:00 UTC,23,14.5,7
2019-01-07 22:00:00 UTC,37.6,23.3,5
2019-01-07 23:00:00 UTC,44.2,27.8,9
2019-01-08 00:00:00 UTC,53.8,32.8,13
2019-01-08 01:00:00 UTC,38.9,28.9,11
2019-01-08 02:00:00 UTC,62.8,31,11
2019-01-08 03:00:00 UTC,63.3,27.8,14
2019-01-08 04:00:00 UTC,78,24.1,13
2019-01-08 05:00:00 UTC,53.9,27.3,13
2019-01-08 06:00:00 UTC,42.4,22,17
2019-01-08 07:00:00 UTC,38.2,18.9,8
2019-01-08 08:00:00 UTC,41.3,16.6,10
2019-01-08 09:00:00 UTC,42.8,15.9,9
2019-01-08 10:00:00 UTC,14.6,9.2,5
2019-01-08 11:00:00 UTC,8.2,7.1,10
2019-01-08 12:00:00 UTC,9.8,7.8,8
2019-01-08 13:00:00 UTC,11.7,9.3,9
2019-01-08 14:00:00 UTC,15.7,11.7,2
2019-01-08 15:00:00 UTC,18.6,15,8
2019-01-08 16:00:00 UTC,PMA,PMA,QAS
2019-01-08 17:00:00 UTC,7.3,5.5,QAS
2019-01-08 18:00:00 UTC,8,5.6,QAS
2019-01-08 19:00:00 UTC,5.1,4.3,QAS
2019-01-08 20:00:00 UTC,4.9,4.3,QAS
2019-01-08 21:00:00 UTC,5.8,5.4,QAS
2019-01-08 22:00:00 UTC,23.7,17.2,QAS
2019-01-08 23:00:00 UTC,21.7,15.4,QAS
2019-01-09 00:00:00 UTC,9.2,8.9,QAS
2019-01-09 01:00:00 UTC,13.2,12.7,QAS
2019-01-09 02:00:00 UTC,10.1,9.9,QAS
2019-01-09 03:00:00 UTC,7.8,7.5,QAS
2019-01-09 04:00:00 UTC,5.7,5.6,QAS
2019-01-09 05:00:00 UTC,5.1,4.9,QAS
2019-01-09 06:00:00 UTC,5.4,5.1,QAS
2019-01-09 07:00:00 UTC,5.6,5.2,QAS
2019-01-09 08:00:00 UTC,4.8,4.4,QAS
2019-01-09 09:00:00 UTC,4.4,4.2,QAS
2019-01-09 10:00:00 UTC,4.6,4.4,QAS
2019-01-09 11:00:00 UTC,6.4,6.1,QAS
2019-01-09 12:00:00 UTC,6.6,6.2,QAS
2019-01-09 13:00:00 UTC,6.9,6.4,3
2019-01-09 14:00:00 UTC,7.6,6.8,3
2019-01-09 15:00:00 UTC,8.6,6.7,-1
2019-01-09 16:00:00 UTC,29.2,15.3,2
2019-01-09 17:00:00 UTC,33.2,16.7,4
2019-01-09 18:00:00 UTC,23.6,12.7,0
2019-01-09 19:00:00 UTC,21.8,12.2,1
2019-01-09 20:00:00 UTC,20.5,11.8,4
2019-01-09 21:00:00 UTC,18.2,10.8,2
2019-01-09 22:00:00 UTC,22.7,13.9,6
2019-01-09 23:00:00 UTC,29.8,19.8,3
2019-01-10 00:00:00 UTC,24.6,19.6,1
2019-01-10 01:00:00 UTC,32.8,27.1,1
2019-01-10 02:00:00 UTC,23.1,21.4,6
2019-01-10 03:00:00 UTC,55.8,30,4
2019-01-10 04:00:00 UTC,23.5,19.4,5
2019-01-10 05:00:00 UTC,19.8,18.5,8
2019-01-10 06:00:00 UTC,28.3,24,4
2019-01-10 07:00:00 UTC,34.7,23.8,7
2019-01-10 08:00:00 UTC,29.7,22.1,6
2019-01-10 09:00:00 UTC,31.5,21.5,5
2019-01-10 10:00:00 UTC,23.3,20.7,6
2019-01-10 11:00:00 UTC,55.5,29.3,4
2019-01-10 12:00:00 UTC,33.9,22.3,7
2019-01-10 13:00:00 UTC,65,28.8,8
2019-01-10 14:00:00 UTC,70.5,28.9,5
2019-01-10 15:00:00 UTC,70.2,29,5
2019-01-10 16:00:00 UTC,52.1,23.4,3
2019-01-10 17:00:00 UTC,49.9,23.7,7
2019-01-10 18:00:00 UTC,49.4,24.9,2
2019-01-10 19:00:00 UTC,57.4,27.9,5
2019-01-10 20:00:00 UTC,51.7,26.5,4
2019-01-10 21:00:00 UTC,53.9,26.6,6
2019-01-10 22:00:00 UTC,47.5,24.7,8
2019-01-10 23:00:00 UTC,48.2,26.1,6
2019-01-11 00:00:00 UTC,61.9,31.8,9
2019-01-11 01:00:00 UTC,69.3,33.8,9
2019-01-11 02:00:00 UTC,54,26.9,6
2019-01-11 03:00:00 UTC,59.5,26.6,6
2019-01-11 04:00:00 UTC,48.2,24,6
2019-01-11 05:00:00 UTC,41.8,20.8,5
2019-01-11 06:00:00 UTC,46.8,23.2,6
2019-01-11 07:00:00 UTC,48,23.3,8
2019-01-11 08:00:00 UTC,38.7,20.5,8
2019-01-11 09:00:00 UTC,27.8,17.3,8
2019-01-11 10:00:00 UTC,46.9,22.2,4
2019-01-11 11:00:00 UTC,47.6,23.6,5
2019-01-11 12:00:00 UTC,61.6,25.4,8
2019-01-11 13:00:00 UTC,55.1,24.8,6
2019-01-11 14:00:00 UTC,60.3,25.4,7
2019-01-11 15:00:00 UTC,53.8,24.8,9
2019-01-11 16:00:00 UTC,62.5,24.6,7
2019-01-11 17:00:00 UTC,51.1,21.3,9
2019-01-11 18:00:00 UTC,40.6,18.9,7
2019-01-11 19:00:00 UTC,43.1,21,6
2019-01-11 20:00:00 UTC,41.5,20.7,10
2019-01-11 21:00:00 UTC,43.8,24.5,3
2019-01-11 22:00:00 UTC,38.5,21.3,6
2019-01-11 23:00:00 UTC,46.1,25.1,8
2019-01-12 00:00:00 UTC,47.6,25.7,10
2019-01-12 01:00:00 UTC,32.1,19.5,6
2019-01-12 02:00:00 UTC,9.1,8,6
2019-01-12 03:00:00 UTC,37.4,16.9,6
2019-01-12 04:00:00 UTC,42.6,22,5
2019-01-12 05:00:00 UTC,38.6,20.8,8
2019-01-12 06:00:00 UTC,22.5,16.4,13
2019-01-12 07:00:00 UTC,10.5,9,8
2019-01-12 08:00:00 UTC,4.5,4.1,4
2019-01-12 09:00:00 UTC,3,2.8,5
2019-01-12 10:00:00 UTC,2.4,2.2,2
2019-01-12 11:00:00 UTC,2.6,2.3,2
2019-01-12 12:00:00 UTC,3.5,3.2,4
2019-01-12 13:00:00 UTC,3.9,3.6,3
2019-01-12 14:00:00 UTC,7.5,6.4,0
2019-01-12 15:00:00 UTC,4.7,3.3,1
2019-01-12 16:00:00 UTC,3.1,2.3,4
2019-01-12 17:00:00 UTC,2.9,2.2,5
2019-01-12 18:00:00 UTC,3.2,2.3,3
2019-01-12 19:00:00 UTC,2.8,2.1,0
2019-01-12 20:00:00 UTC,2.6,2.3,1
2019-01-12 21:00:00 UTC,2.5,2.1,3
2019-01-12 22:00:00 UTC,2.9,2.6,3
2019-01-12 23:00:00 UTC,3.4,3.3,4
2019-01-13 00:00:00 UTC,6.2,6.1,6
2019-01-13 01:00:00 UTC,6.1,5.7,6
2019-01-13 02:00:00 UTC,5.7,5.4,8
2019-01-13 03:00:00 UTC,5.9,5.6,6
2019-01-13 04:00:00 UTC,5.5,5.2,7
2019-01-13 05:00:00 UTC,5.7,5.4,7
2019-01-13 06:00:00 UTC,6,5.6,5
2019-01-13 07:00:00 UTC,CAL,CAL,7
2019-01-13 08:00:00 UTC,CAL,CAL,8
2019-01-13 09:00:00 UTC,CAL,CAL,7
2019-01-13 10:00:00 UTC,CAL,CAL,2
2019-01-13 11:00:00 UTC,4,3.1,7
2019-01-13 12:00:00 UTC,4.2,3.7,5
2019-01-13 13:00:00 UTC,5.1,4.8,3
2019-01-13 14:00:00 UTC,4.1,3.2,1
2019-01-13 15:00:00 UTC,3.9,2.7,8
2019-01-13 16:00:00 UTC,5,3,4
2019-01-13 17:00:00 UTC,4.2,2.6,7
2019-01-13 18:00:00 UTC,7.3,4.1,7
2019-01-13 19:00:00 UTC,6.8,4,6
2019-01-13 20:00:00 UTC,5.5,3.5,5
2019-01-13 21:00:00 UTC,9.9,5.8,5
2019-01-13 22:00:00 UTC,10.5,6.8,8
2019-01-13 23:00:00 UTC,26.5,15.7,11
2019-01-14 00:00:00 UTC,14.8,10.4,11
2019-01-14 01:00:00 UTC,7,6.3,10
2019-01-14 02:00:00 UTC,22.8,14.5,11
2019-01-14 03:00:00 UTC,7,6.4,11
2019-01-14 04:00:00 UTC,18.3,11.9,18
2019-01-14 05:00:00 UTC,14.9,10.5,14
2019-01-14 06:00:00 UTC,10.1,7.8,15
2019-01-14 07:00:00 UTC,5.9,5.1,17
2019-01-14 08:00:00 UTC,6,4.7,14
2019-01-14 09:00:00 UTC,7.7,5.9,14
2019-01-14 10:00:00 UTC,13.9,9.1,17
2019-01-14 11:00:00 UTC,18.8,11.7,17
2019-01-14 12:00:00 UTC,13.4,9.6,17
2019-01-14 13:00:00 UTC,11.2,9.9,17
2019-01-14 14:00:00 UTC,9.9,8,18
2019-01-14 15:00:00 UTC,16.2,9.6,13
2019-01-14 16:00:00 UTC,20.8,10.2,17
2019-01-14 17:00:00 UTC,15.9,8.5,17
2019-01-14 18:00:00 UTC,13.4,7.5,11
2019-01-14 19:00:00 UTC,17.3,8.9,11
2019-01-14 20:00:00 UTC,23.9,12.8,18
2019-01-14 21:00:00 UTC,53.4,23.5,16
2019-01-14 22:00:00 UTC,7.5,6.3,7
2019-01-14 23:00:00 UTC,7.4,6.5,6
2019-01-15 00:00:00 UTC,7.5,6.8,6
2019-01-15 01:00:00 UTC,11.1,10.4,11
2019-01-15 02:00:00 UTC,30.5,16.9,11
2019-01-15 03:00:00 UTC,46.2,18.8,12
2019-01-15 04:00:00 UTC,41.1,15.6,10
2019-01-15 05:00:00 UTC,44.4,15.6,9
2019-01-15 06:00:00 UTC,33.9,12.1,9
2019-01-15 07:00:00 UTC,39.4,15.8,14
2019-01-15 08:00:00 UTC,35.5,14.7,14
2019-01-15 09:00:00 UTC,33.3,14.6,12
2019-01-15 10:00:00 UTC,23.2,12.8,11
2019-01-15 11:00:00 UTC,8.5,8,16
2019-01-15 12:00:00 UTC,18.9,10.6,12
2019-01-15 13:00:00 UTC,71.2,20.9,17
2019-01-15 14:00:00 UTC,61.6,19.8,16
2019-01-15 15:00:00 UTC,65.2,20.5,16
2019-01-15 16:00:00 UTC,65.8,24.7,20
2019-01-15 17:00:00 UTC,59.6,23.9,19
2019-01-15 18:00:00 UTC,48.7,20.1,15
2019-01-15 19:00:00 UTC,44.6,19.4,16
2019-01-15 20:00:00 UTC,40.4,19.7,13
2019-01-15 21:00:00 UTC,49.4,22.4,11
2019-01-15 22:00:00 UTC,39.6,19.2,11
2019-01-15 23:00:00 UTC,42.7,19.5,12
2019-01-16 00:00:00 UTC,55.9,21.4,15
2019-01-16 01:00:00 UTC,26,15.1,17
2019-01-16 02:00:00 UTC,34.6,18.5,16
2019-01-16 03:00:00 UTC,26.9,17.1,14
2019-01-16 04:00:00 UTC,43.7,21.6,15
2019-01-16 05:00:00 UTC,41.5,20,14
2019-01-16 06:00:00 UTC,31.9,16.7,18
2019-01-16 07:00:00 UTC,26,14.6,15
2019-01-16 08:00:00 UTC,37.1,18.8,15
2019-01-16 09:00:00 UTC,31.8,14.9,20
2019-01-16 10:00:00 UTC,31.9,14.5,16
2019-01-16 11:00:00 UTC,48.9,17.6,17
2019-01-16 12:00:00 UTC,61.7,21.2,23
2019-01-16 13:00:00 UTC,59.4,21.8,23
2019-01-16 14:00:00 UTC,52.6,20,21
2019-01-16 15:00:00 UTC,45.5,20,29
2019-01-16 16:00:00 UTC,72.3,22.6,20
2019-01-16 17:00:00 UTC,46.3,21.5,14
2019-01-16 18:00:00 UTC,61.9,22.9,15
2019-01-16 19:00:00 UTC,52.5,21.5,14
2019-01-16 20:00:00 UTC,50.7,21.7,18
2019-01-16 21:00:00 UTC,62.3,22.6,14
2019-01-16 22:00:00 UTC,51.5,20.7,11
2019-01-16 23:00:00 UTC,50.3,18,7
2019-01-17 00:00:00 UTC,29.5,16.7,6
2019-01-17 01:00:00 UTC,20.9,15.5,9
2019-01-17 02:00:00 UTC,28.5,16.5,8
2019-01-17 03:00:00 UTC,44.7,20.7,11
2019-01-17 04:00:00 UTC,35.6,18.9,9
2019-01-17 05:00:00 UTC,18.6,13,7
2019-01-17 06:00:00 UTC,10.3,9.2,8
2019-01-17 07:00:00 UTC,23.1,14.8,8
2019-01-17 08:00:00 UTC,10.4,8.5,5
2019-01-17 09:00:00 UTC,4.3,4,3
2019-01-17 10:00:00 UTC,2.5,2.3,4
2019-01-17 11:00:00 UTC,3.6,2.8,4
2019-01-17 12:00:00 UTC,8.7,5.5,5
2019-01-17 13:00:00 UTC,18.7,11.5,1
2019-01-17 14:00:00 UTC,15.9,9.8,2
2019-01-17 15:00:00 UTC,9.5,6.2,2
2019-01-17 16:00:00 UTC,7.2,4.7,2
2019-01-17 17:00:00 UTC,5.4,3.8,6
2019-01-17 18:00:00 UTC,5.4,4,8
2019-01-17 19:00:00 UTC,4.9,3.8,4
2019-01-17 20:00:00 UTC,12.8,7.8,1
2019-01-17 21:00:00 UTC,10.6,7.2,2
2019-01-17 22:00:00 UTC,8.5,7,3
2019-01-17 23:00:00 UTC,51.9,27.4,10
2019-01-18 00:00:00 UTC,91.8,36.3,6
2019-01-18 01:00:00 UTC,85.2,31.9,10
2019-01-18 02:00:00 UTC,82,31.2,12
2019-01-18 03:00:00 UTC,47.8,21.7,6
2019-01-18 04:00:00 UTC,43.8,21.4,10
2019-01-18 05:00:00 UTC,44.9,20.5,11
2019-01-18 06:00:00 UTC,40.7,16.5,8
2019-01-18 07:00:00 UTC,54.6,19.2,9
2019-01-18 08:00:00 UTC,38.4,13.8,11
2019-01-18 09:00:00 UTC,37.7,13.5,12
2019-01-18 10:00:00 UTC,31.2,11.5,8
2019-01-18 11:00:00 UTC,42,12.3,8
2019-01-18 12:00:00 UTC,48.8,14.2,18
2019-01-18 13:00:00 UTC,47.7,16.4,14
2019-01-18 14:00:00 UTC,48.1,16.2,13
2019-01-18 15:00:00 UTC,43,14.3,15
2019-01-18 16:00:00 UTC,40.8,14.3,10
2019-01-18 17:00:00 UTC,54.3,16,11
2019-01-18 18:00:00 UTC,37.8,12.4,5
2019-01-18 19:00:00 UTC,36.3,14.2,8
2019-01-18 20:00:00 UTC,35.2,14.6,6
2019-01-18 21:00:00 UTC,37.2,19.3,10
2019-01-18 22:00:00 UTC,29.3,16,10
2019-01-18 23:00:00 UTC,23.7,12.3,5
2019-01-19 00:00:00 UTC,18.8,11.9,8
2019-01-19 01:00:00 UTC,31,16.4,10
2019-01-19 02:00:00 UTC,14.3,10.5,10
2019-01-19 03:00:00 UTC,9.9,7.5,10
2019-01-19 04:00:00 UTC,8.9,7.3,9
2019-01-19 05:00:00 UTC,6.4,5.6,13
2019-01-19 06:00:00 UTC,3.9,3.6,8
2019-01-19 07:00:00 UTC,2.6,2.2,6
2019-01-19 08:00:00 UTC,1.6,1.2,7
2019-01-19 09:00:00 UTC,1.7,1.6,1
2019-01-19 10:00:00 UTC,1.8,1.9,1
2019-01-19 11:00:00 UTC,2.1,1.8,6
2019-01-19 12:00:00 UTC,1.8,1.9,6
2019-01-19 13:00:00 UTC,2.6,2.3,4
2019-01-19 14:00:00 UTC,2.8,2.1,1
2019-01-19 15:00:00 UTC,2.8,1.9,3
2019-01-19 16:00:00 UTC,2.3,1.6,1
2019-01-19 17:00:00 UTC,2.1,1.5,2
2019-01-19 18:00:00 UTC,2.1,1.3,5
2019-01-19 19:00:00 UTC,1.7,1.2,3
2019-01-19 20:00:00 UTC,1.7,1.2,1
2019-01-19 21:00:00 UTC,1.9,1.5,1
2019-01-19 22:00:00 UTC,2,1.7,4
2019-01-19 23:00:00 UTC,2.8,2.3,1
2019-01-20 00:00:00 UTC,5.6,5.3,-1
2019-01-20 01:00:00 UTC,5.9,5.4,4
2019-01-20 02:00:00 UTC,5.9,5.7,4
2019-01-20 03:00:00 UTC,5.5,5.2,4
2019-01-20 04:00:00 UTC,3.2,2.8,4
2019-01-20 05:00:00 UTC,3.9,3.4,3
2019-01-20 06:00:00 UTC,8.5,8.2,4
2019-01-20 07:00:00 UTC,SPN,SPN,2
2019-01-20 08:00:00 UTC,SPN,SPN,3
2019-01-20 09:00:00 UTC,6.7,6,4
2019-01-20 10:00:00 UTC,6.3,6,0
2019-01-20 11:00:00 UTC,5.3,5,0
2019-01-20 12:00:00 UTC,4.6,4.5,2
2019-01-20 13:00:00 UTC,6.5,6.3,-3
2019-01-20 14:00:00 UTC,5.8,5.1,4
2019-01-20 15:00:00 UTC,4.9,3.9,1
2019-01-20 16:00:00 UTC,10.8,6.8,2
2019-01-20 17:00:00 UTC,17.4,9.3,3
2019-01-20 18:00:00 UTC,11.9,7.4,-1
2019-01-20 19:00:00 UTC,13.5,8.5,3
2019-01-20 20:00:00 UTC,22.2,12.2,4
2019-01-20 21:00:00 UTC,25.3,13.5,-3
2019-01-20 22:00:00 UTC,29,16.3,6
2019-01-20 23:00:00 UTC,44.8,26.1,6
2019-01-21 00:00:00 UTC,54.7,30.5,9
2019-01-21 01:00:00 UTC,70.2,32.8,14
2019-01-21 02:00:00 UTC,45.9,23.6,8
2019-01-21 03:00:00 UTC,50.3,25.3,8
2019-01-21 04:00:00 UTC,42.3,22.9,6
2019-01-21 05:00:00 UTC,42.6,22,11
2019-01-21 06:00:00 UTC,32.4,18.9,5
2019-01-21 07:00:00 UTC,33,18.7,9
2019-01-21 08:00:00 UTC,24.7,15.5,5
2019-01-21 09:00:00 UTC,34.8,19.9,7
2019-01-21 10:00:00 UTC,42.8,21.8,7
2019-01-21 11:00:00 UTC,73.2,25.3,9
2019-01-21 12:00:00 UTC,100.8,27.9,13
2019-01-21 13:00:00 UTC,93.3,27.4,8
2019-01-21 14:00:00 UTC,85,28.1,11
2019-01-21 15:00:00 UTC,52.4,23.2,9
2019-01-21 16:00:00 UTC,38.7,20.7,11
2019-01-21 17:00:00 UTC,27.8,15.9,8
2019-01-21 18:00:00 UTC,20.6,11.8,6
2019-01-21 19:00:00 UTC,24.2,13.6,7
2019-01-21 20:00:00 UTC,22.5,13.2,7
2019-01-21 21:00:00 UTC,25,14.3,3
2019-01-21 22:00:00 UTC,21.6,12.6,4
2019-01-21 23:00:00 UTC,22.2,13.6,6
2019-01-22 00:00:00 UTC,25.6,15.5,3
2019-01-22 01:00:00 UTC,29.8,16.5,3
2019-01-22 02:00:00 UTC,25.2,14,3
2019-01-22 03:00:00 UTC,20.5,11,8
2019-01-22 04:00:00 UTC,16.6,9.3,-1
2019-01-22 05:00:00 UTC,15.7,9.8,4
2019-01-22 06:00:00 UTC,14.4,8.6,3
2019-01-22 07:00:00 UTC,13.4,8.1,3
2019-01-22 08:00:00 UTC,12.4,7.4,4
2019-01-22 09:00:00 UTC,15.9,9,5
2019-01-22 10:00:00 UTC,15.8,9.7,5
2019-01-22 11:00:00 UTC,24.2,13,4
2019-01-22 12:00:00 UTC,32.2,16.5,3
2019-01-22 13:00:00 UTC,35,18.9,4
2019-01-22 14:00:00 UTC,35.2,19.7,7
2019-01-22 15:00:00 UTC,32.8,16.7,8
2019-01-22 16:00:00 UTC,32,18.8,7
2019-01-22 17:00:00 UTC,31.6,17.5,1
2019-01-22 18:00:00 UTC,28.5,16.4,7
2019-01-22 19:00:00 UTC,PMA,PMA,10
2019-01-22 20:00:00 UTC,PMA,PMA,6
2019-01-22 21:00:00 UTC,35.5,24.1,11
